condition,n_imgs,n_gt,mAP_clear,mAP_cond,delta_clear
clear,100,460,0.5291,0.5291,0.0000
rain_light,100,460,0.5291,0.2005,0.3285
rain_heavy,100,460,0.5291,0.1104,0.4187
snow_light,100,460,0.5291,0.3901,0.1390
snow_heavy,100,460,0.5291,0.2519,0.2772
fog_light,100,460,0.5291,0.4512,0.0779
fog_medium,100,460,0.5291,0.4447,0.0844
fog_heavy,100,460,0.5291,0.4170,0.1121
night,100,460,0.5291,0.3004,0.2286
night_rain,100,460,0.5291,0.0666,0.4625
night_snow,100,460,0.5291,0.2332,0.2959
small,100,460,0.5291,0.2741,0.2549
