condition,n_imgs,n_gt,mAP_clear,mAP_cond,delta_clear
clear,100,460,0.6266,0.6266,0.0000
rain_light,100,460,0.6266,0.2183,0.4083
rain_heavy,100,460,0.6266,0.1487,0.4779
snow_light,100,460,0.6266,0.3806,0.2460
snow_heavy,100,460,0.6266,0.2487,0.3779
fog_light,100,460,0.6266,0.5177,0.1089
fog_medium,100,460,0.6266,0.5090,0.1176
fog_heavy,100,460,0.6266,0.4766,0.1500
night,100,460,0.6266,0.3838,0.2429
night_rain,100,460,0.6266,0.0923,0.5343
night_snow,100,460,0.6266,0.2558,0.3709
small,100,460,0.6266,0.3404,0.2862
