condition,n_imgs,n_gt,mAP_clear,mAP_cond,delta_clear
clear,100,460,0.5093,0.5093,0.0000
rain_light,100,460,0.5093,0.2033,0.3060
rain_heavy,100,460,0.5093,0.1395,0.3698
snow_light,100,460,0.5093,0.4038,0.1055
snow_heavy,100,460,0.5093,0.2589,0.2503
fog_light,100,460,0.5093,0.4430,0.0662
fog_medium,100,460,0.5093,0.4365,0.0728
fog_heavy,100,460,0.5093,0.4255,0.0838
night,100,460,0.5093,0.3550,0.1543
night_rain,100,460,0.5093,0.0692,0.4401
night_snow,100,460,0.5093,0.2557,0.2536
small,100,460,0.5093,0.2786,0.2306
