model,condition,n_valid,n_errors,rule1_P,rule1_R,rule1_F1,rule1_IoU,rule2_P,rule2_R,rule2_F1,rule2_IoU,rule3_P,rule3_R,rule3_F1,rule3_IoU,rule4_P,rule4_R,rule4_F1,rule4_IoU,overall_P,overall_R,overall_F1,overall_IoU
InternVL2_5-26B-MPO,night,500,0,0.0845,1.0000,0.1558,0.1350,0.0000,0.0000,0.0000,,0.0833,0.0909,0.0870,0.2899,0.0145,1.0000,0.0286,0.0117,0.0498,0.8065,0.0938,0.1208
InternVL2_5-26B-MPO,original,500,0,0.1414,0.8750,0.2435,0.1196,0.0417,0.2500,0.0714,0.0000,0.0225,0.2222,0.0408,0.3629,0.0050,1.0000,0.0100,0.1005,0.0671,0.7722,0.1235,0.1250
InternVL2_5-26B-MPO,small,500,0,0.1234,0.8571,0.2157,0.0676,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,,0.0044,1.0000,0.0088,0.0048,0.0565,0.6944,0.1045,0.0651
InternVL2_5-26B-MPO,weather,470,0,0.1171,0.9057,0.2073,0.0576,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,,0.0069,1.0000,0.0137,0.0524,0.0567,0.8361,0.1061,0.0573
Phi-4-multimodal-instruct,night,495,5,0.1047,0.4762,0.1717,0.2008,0.0063,0.5000,0.0125,0.0081,0.0210,0.2727,0.0390,0.1176,0.0100,0.1429,0.0187,0.0473,0.0422,0.4032,0.0765,0.1770
Phi-4-multimodal-instruct,original,495,5,0.1429,0.3750,0.2069,0.1802,0.0225,0.5000,0.0430,0.1075,0.0204,0.3333,0.0385,0.1461,0.0000,0.0000,0.0000,,0.0626,0.3671,0.1070,0.1717
Phi-4-multimodal-instruct,small,498,2,0.1351,0.2679,0.1796,0.0840,0.0247,0.5000,0.0471,0.0049,0.0115,0.1000,0.0206,0.1029,0.0000,0.0000,0.0000,,0.0547,0.2500,0.0898,0.0763
Phi-4-multimodal-instruct,weather,470,0,0.1032,0.3019,0.1538,0.1074,0.0101,1.0000,0.0200,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,,0.0382,0.2787,0.0672,0.1011
Qwen3-VL-8B-Instruct,night,500,0,0.1364,0.0714,0.0937,0.1421,0.1250,0.5000,0.2000,0.4011,0.0000,0.0000,0.0000,,0.0727,0.5714,0.1290,0.2703,0.0870,0.1290,0.1039,0.2386
Qwen3-VL-8B-Instruct,original,500,0,0.0656,0.0625,0.0640,0.2941,0.0952,1.0000,0.1739,0.3433,0.2222,0.2222,0.2222,0.2110,0.0172,0.5000,0.0333,0.3071,0.0647,0.1392,0.0884,0.2981
Qwen3-VL-8B-Instruct,small,500,0,0.0968,0.0536,0.0690,0.3540,0.0714,0.2500,0.1111,0.0820,0.1429,0.2000,0.1667,0.2599,0.0323,0.5000,0.0606,0.0000,0.0778,0.0972,0.0864,0.2377
Qwen3-VL-8B-Instruct,weather,470,0,0.1628,0.1321,0.1458,0.3882,0.0500,1.0000,0.0952,0.2732,0.0000,0.0000,0.0000,,0.0120,0.3333,0.0233,0.0000,0.0552,0.1475,0.0804,0.3323
gpt-4o-mini,night,233,267,0.0492,0.0714,0.0583,0.1602,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,,0.0306,0.0484,0.0375,0.1602
gpt-4o-mini,original,221,279,0.1739,0.1250,0.1455,0.1906,0.0000,0.0000,0.0000,,0.3333,0.2222,0.2667,0.3396,0.0000,0.0000,0.0000,,0.1176,0.1266,0.1220,0.2204
gpt-4o-mini,small,260,240,0.1429,0.0357,0.0571,0.0443,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,,0.0909,0.0278,0.0426,0.0443
gpt-4o-mini,weather,237,233,0.1613,0.0943,0.1190,0.1169,0.1111,1.0000,0.2000,0.0442,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,,0.1071,0.0984,0.1026,0.1048
llava-1.5-7b-hf,night,0,500,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,
llava-1.5-7b-hf,original,0,500,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,
llava-1.5-7b-hf,small,0,500,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,
llava-1.5-7b-hf,weather,0,470,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,
