filename,ssim,in_range
hd1004.jpg,0.8468,YES
hd1000.jpg,0.7450,YES
hd1010.jpg,0.7737,YES
hd1001.jpg,0.7921,YES
hd1007.jpg,0.7860,YES
hd1005.jpg,0.6119,YES
hd1006.jpg,0.7578,YES
hd1003.jpg,0.7291,YES
hd1011.jpg,0.7832,YES
hd1012.jpg,0.7886,YES
hd1017.jpg,0.3924,NO
hd1013.jpg,0.4039,NO
hd1014.jpg,0.6656,YES
hd1015.jpg,0.7739,YES
hd1016.jpg,0.7684,YES
hd1018.jpg,0.5233,NO
hd1019.jpg,0.8180,YES
hd1020.jpg,0.8266,YES
hd1029.jpg,0.4198,NO
hd1022.jpg,0.7461,YES
hd1026.jpg,0.4458,NO
hd1023.jpg,0.8030,YES
hd1027.jpg,0.7836,YES
hd1030.jpg,0.6656,YES
hd1031.jpg,0.6521,YES
hd1032.jpg,0.5424,NO
hd1033.jpg,0.7898,YES
hd1035.jpg,0.7033,YES
hd1036.jpg,0.6321,YES
hd1037.jpg,0.6617,YES
hd1038.jpg,0.6382,YES
hd104.jpg,0.6324,YES
hd1041.jpg,0.5579,NO
hd1040.jpg,0.6307,YES
hd1043.jpg,0.4551,NO
hd1042.jpg,0.4886,NO
hd1044.jpg,0.7018,YES
hd1045.jpg,0.6875,YES
hd1046.jpg,0.8428,YES
hd1047.jpg,0.5969,NO
hd1050.jpg,0.6074,YES
hd1053.jpg,0.5146,NO
hd1051.jpg,0.5736,NO
hd1052.jpg,0.4709,NO
hd1054.jpg,0.6594,YES
hd1055.jpg,0.5038,NO
hd1056.jpg,0.6294,YES
hd1057.jpg,0.5611,NO
hd1059.jpg,0.5439,NO
hd106.jpg,0.5072,NO
hd1060.jpg,0.4566,NO
hd1061.jpg,0.5222,NO
hd1062.jpg,0.5354,NO
hd1063.jpg,0.8412,YES
hd1064.jpg,0.8391,YES
hd1066.jpg,0.7000,YES
hd1067.jpg,0.6484,YES
hd1069.jpg,0.8006,YES
hd1070.jpg,0.8082,YES
hd1071.jpg,0.8378,YES
hd1073.jpg,0.7797,YES
hd1077.jpg,0.7320,YES
hd1078.jpg,0.8083,YES
hd1079.jpg,0.7928,YES
hd1080.jpg,0.5306,NO
hd1081.jpg,0.8045,YES
hd1082.jpg,0.8196,YES
hd1083.jpg,0.8040,YES
hd1084.jpg,0.8071,YES
hd1085.jpg,0.7964,YES
hd1086.jpg,0.7976,YES
hd1088.jpg,0.6945,YES
hd1089.jpg,0.8096,YES
hd1091.jpg,0.8240,YES
hd1092.jpg,0.8029,YES
hd1093.jpg,0.7338,YES
hd1095.jpg,0.8046,YES
hd1096.jpg,0.5646,NO
hd1097.jpg,0.7615,YES
hd1098.jpg,0.8084,YES
hd1103.jpg,0.8702,YES
hd1104.jpg,0.8389,YES
hd1100.jpg,0.8172,YES
hd1099.jpg,0.7303,YES
hd1105.jpg,0.4677,NO
hd1107.jpg,0.6621,YES
hd1108.jpg,0.8262,YES
hd1106.jpg,0.7428,YES
hd1110.jpg,0.8375,YES
hd1109.jpg,0.8437,YES
hd111.jpg,0.5239,NO
hd1112.jpg,0.8267,YES
hd1111.jpg,0.8513,YES
hd1114.jpg,0.7599,YES
hd1113.jpg,0.7696,YES
hd1115.jpg,0.7722,YES
hd1117.jpg,0.8587,YES
hd1116.jpg,0.8171,YES
hd1118.jpg,0.8386,YES
hd1121.jpg,0.8081,YES
hd1119.jpg,0.6216,YES
hd112.jpg,0.7885,YES
hd1120.jpg,0.8054,YES
hd1122.jpg,0.7501,YES
hd1123.jpg,0.8191,YES
hd1124.jpg,0.8370,YES
hd1128.jpg,0.7799,YES
hd1125.jpg,0.7608,YES
hd1126.jpg,0.8148,YES
hd1127.jpg,0.7525,YES
hd1129.jpg,0.8354,YES
hd113.jpg,0.7391,YES
hd1130.jpg,0.8176,YES
hd1132.jpg,0.8474,YES
hd1131.jpg,0.7893,YES
hd1133.jpg,0.7913,YES
hd1135.jpg,0.6125,YES
hd1134.jpg,0.7385,YES
hd1136.jpg,0.8137,YES
hd1137.jpg,0.8302,YES
hd1138.jpg,0.8213,YES
hd1139.jpg,0.8190,YES
hd114.jpg,0.7815,YES
hd1140.jpg,0.7543,YES
hd1141.jpg,0.8402,YES
hd1142.jpg,0.7711,YES
hd1143.jpg,0.8367,YES
hd1144.jpg,0.7814,YES
hd1146.jpg,0.8093,YES
hd1145.jpg,0.5873,NO
hd1148.jpg,0.7952,YES
hd1147.jpg,0.7896,YES
hd1152.jpg,0.7997,YES
hd1149.jpg,0.7624,YES
hd1150.jpg,0.4736,NO
hd1153.jpg,0.5170,NO
hd1154.jpg,0.5438,NO
hd1155.jpg,0.7772,YES
hd1156.jpg,0.5763,NO
hd1157.jpg,0.5036,NO
hd1160.jpg,0.8535,YES
hd1158.jpg,0.8267,YES
hd1159.jpg,0.5017,NO
hd1161.jpg,0.6385,YES
hd1162.jpg,0.5161,NO
hd1164.jpg,0.7974,YES
hd1163.jpg,0.6096,YES
hd1165.jpg,0.7488,YES
hd1166.jpg,0.7800,YES
hd1168.jpg,0.7969,YES
hd1169.jpg,0.7687,YES
