filename,ssim,in_range
hd1004.jpg,0.1414,NO
hd1000.jpg,0.3854,NO
hd1001.jpg,0.4926,NO
hd1006.jpg,0.5313,YES
hd1005.jpg,0.3346,NO
hd1003.jpg,0.5464,YES
hd1007.jpg,0.4793,NO
hd1010.jpg,0.5937,YES
hd1011.jpg,0.5233,YES
hd1012.jpg,0.4151,NO
hd1013.jpg,0.3215,NO
hd1014.jpg,0.3884,NO
hd1015.jpg,0.4003,NO
hd1016.jpg,0.5042,YES
hd1017.jpg,0.3325,NO
hd1018.jpg,0.4727,NO
hd1019.jpg,0.4386,NO
hd1020.jpg,0.4925,NO
hd1022.jpg,0.5090,YES
hd1023.jpg,0.3685,NO
hd1026.jpg,0.3088,NO
hd1027.jpg,0.4854,NO
hd1029.jpg,0.3535,NO
hd1030.jpg,0.4302,NO
hd1031.jpg,0.3981,NO
hd1032.jpg,0.4535,NO
hd1035.jpg,0.4381,NO
hd1033.jpg,0.5055,YES
hd1036.jpg,0.4710,NO
hd1037.jpg,0.4257,NO
hd1038.jpg,0.4556,NO
hd1041.jpg,0.3888,NO
hd104.jpg,0.3876,NO
hd1040.jpg,0.4575,NO
hd1042.jpg,0.5136,YES
hd1044.jpg,0.3671,NO
hd1045.jpg,0.4412,NO
hd1043.jpg,0.2143,NO
hd1046.jpg,0.5341,YES
hd1047.jpg,0.4864,NO
hd1051.jpg,0.4578,NO
hd1053.jpg,0.4329,NO
hd1052.jpg,0.3575,NO
hd1050.jpg,0.3799,NO
hd1054.jpg,0.3579,NO
hd1055.jpg,0.4016,NO
hd1057.jpg,0.4188,NO
hd1056.jpg,0.4272,NO
hd1059.jpg,0.3951,NO
hd106.jpg,0.4278,NO
hd1060.jpg,0.3905,NO
hd1062.jpg,0.4196,NO
hd1063.jpg,0.4233,NO
hd1061.jpg,0.3467,NO
hd1064.jpg,0.1804,NO
hd1067.jpg,0.4442,NO
hd1069.jpg,0.4912,NO
hd1066.jpg,0.3405,NO
hd1070.jpg,0.5207,YES
hd1071.jpg,0.5521,YES
hd1073.jpg,0.4671,NO
hd1077.jpg,0.4301,NO
hd1078.jpg,0.4687,NO
hd1079.jpg,0.5672,YES
hd1080.jpg,0.4242,NO
hd1082.jpg,0.5639,YES
hd1083.jpg,0.5700,YES
hd1084.jpg,0.6314,YES
hd1081.jpg,0.5671,YES
hd1085.jpg,0.5953,YES
hd1086.jpg,0.5935,YES
hd1088.jpg,0.5781,YES
hd1089.jpg,0.2507,NO
hd1091.jpg,0.4160,NO
hd1093.jpg,0.4865,NO
hd1092.jpg,0.3962,NO
hd1095.jpg,0.3553,NO
hd1097.jpg,0.5219,YES
hd1096.jpg,0.4385,NO
hd1098.jpg,0.5529,YES
hd1099.jpg,0.3584,NO
hd1103.jpg,0.2845,NO
hd1100.jpg,0.5193,YES
hd1104.jpg,0.5161,YES
hd1105.jpg,0.2542,NO
hd1106.jpg,0.5028,YES
hd1108.jpg,0.2886,NO
hd1107.jpg,0.3957,NO
hd1110.jpg,0.3466,NO
hd1109.jpg,0.5386,YES
hd111.jpg,0.3822,NO
hd1111.jpg,0.4965,NO
hd1113.jpg,0.5457,YES
hd1112.jpg,0.5209,YES
hd1114.jpg,0.5728,YES
hd1117.jpg,0.4065,NO
hd1116.jpg,0.5682,YES
hd1119.jpg,0.3569,NO
hd1118.jpg,0.5007,YES
hd1115.jpg,0.5511,YES
hd1121.jpg,0.1537,NO
hd112.jpg,0.5260,YES
hd1120.jpg,0.5424,YES
hd1122.jpg,0.6214,YES
hd1123.jpg,0.4332,NO
hd1124.jpg,0.5632,YES
hd1125.jpg,0.5284,YES
hd1126.jpg,0.5111,YES
hd1128.jpg,0.5929,YES
hd1127.jpg,0.5955,YES
hd113.jpg,0.6365,YES
hd1132.jpg,0.5681,YES
hd1131.jpg,0.5857,YES
hd1130.jpg,0.5497,YES
hd1129.jpg,0.5831,YES
hd1134.jpg,0.3074,NO
hd1133.jpg,0.5863,YES
hd1135.jpg,0.5161,YES
hd1136.jpg,0.5873,YES
hd1137.jpg,0.5914,YES
hd1138.jpg,0.4811,NO
hd1139.jpg,0.4953,NO
hd114.jpg,0.5357,YES
hd1140.jpg,0.6523,YES
hd1142.jpg,0.5785,YES
hd1141.jpg,0.5746,YES
hd1146.jpg,0.3504,NO
hd1143.jpg,0.5521,YES
hd1144.jpg,0.5846,YES
hd1145.jpg,0.3739,NO
hd1148.jpg,0.5142,YES
hd1147.jpg,0.5849,YES
hd1149.jpg,0.5971,YES
hd1152.jpg,0.6474,YES
hd1150.jpg,0.3642,NO
hd1154.jpg,0.3128,NO
hd1153.jpg,0.4619,NO
hd1155.jpg,0.3227,NO
hd1156.jpg,0.3504,NO
hd1157.jpg,0.4438,NO
hd1158.jpg,0.5751,YES
hd1159.jpg,0.3961,NO
hd1160.jpg,0.4920,NO
hd1161.jpg,0.4867,NO
hd1162.jpg,0.4933,NO
hd1164.jpg,0.4990,NO
hd1163.jpg,0.5248,YES
hd1166.jpg,0.5701,YES
hd1168.jpg,0.4876,NO
hd1165.jpg,0.5317,YES
hd1170.jpg,0.4715,NO
hd1171.jpg,0.3152,NO
hd1169.jpg,0.5262,YES
hd1172.jpg,0.5583,YES
hd1173.jpg,0.6089,YES
hd1174.jpg,0.5086,YES
hd1176.jpg,0.3855,NO
hd1178.jpg,0.3558,NO
hd1179.jpg,0.5590,YES
hd1177.jpg,0.5710,YES
hd1180.jpg,0.6069,YES
hd118.jpg,0.2097,NO
hd1181.jpg,0.4958,NO
hd1182.jpg,0.4682,NO
hd1183.jpg,0.3671,NO
hd1185.jpg,0.5610,YES
hd1186.jpg,0.4156,NO
hd1188.jpg,0.5038,YES
hd119.jpg,0.4596,NO
hd1190.jpg,0.5273,YES
hd1199.jpg,0.5344,YES
hd1201.jpg,0.3735,NO
hd1202.jpg,0.4631,NO
hd1204.jpg,0.5305,YES
hd1203.jpg,0.4949,NO
hd1209.jpg,0.5768,YES
hd1211.jpg,0.4011,NO
hd1206.jpg,0.5064,YES
hd1210.jpg,0.5823,YES
hd1212.jpg,0.3594,NO
hd1213.jpg,0.4827,NO
hd1214.jpg,0.4017,NO
hd1215.jpg,0.3614,NO
hd1218.jpg,0.5064,YES
hd1216.jpg,0.3005,NO
hd1219.jpg,0.4030,NO
hd1220.jpg,0.3996,NO
hd1221.jpg,0.4171,NO
hd122.jpg,0.6057,YES
hd1223.jpg,0.3142,NO
hd1224.jpg,0.3847,NO
hd1225.jpg,0.3701,NO
hd1226.jpg,0.3761,NO
hd1229.jpg,0.2824,NO
hd1228.jpg,0.4343,NO
hd1230.jpg,0.6728,YES
hd1232.jpg,0.6334,YES
hd1233.jpg,0.6412,YES
hd1231.jpg,0.6697,YES
hd1234.jpg,0.5164,YES
hd1236.jpg,0.6543,YES
hd1237.jpg,0.6689,YES
hd1239.jpg,0.5222,YES
hd1238.jpg,0.5287,YES
hd1240.jpg,0.6423,YES
hd1241.jpg,0.6103,YES
hd1243.jpg,0.5845,YES
hd1242.jpg,0.5093,YES
hd1244.jpg,0.5212,YES
hd1245.jpg,0.4861,NO
hd1246.jpg,0.5631,YES
hd1249.jpg,0.6868,YES
hd1250.jpg,0.3728,NO
hd1247.jpg,0.5570,YES
hd1248.jpg,0.5685,YES
hd1252.jpg,0.4133,NO
hd1251.jpg,0.4474,NO
hd1254.jpg,0.5451,YES
hd1255.jpg,0.5703,YES
hd1253.jpg,0.4555,NO
hd1256.jpg,0.5467,YES
hd1258.jpg,0.3192,NO
hd1257.jpg,0.2614,NO
hd1259.jpg,0.7188,YES
hd126.jpg,0.3495,NO
hd1260.jpg,0.7150,YES
hd1262.jpg,0.6101,YES
hd1261.jpg,0.7309,YES
hd1264.jpg,0.6446,YES
hd1263.jpg,0.2684,NO
hd1266.jpg,0.2761,NO
hd1265.jpg,0.4803,NO
hd1269.jpg,0.5458,YES
hd1267.jpg,0.5116,YES
hd1268.jpg,0.5434,YES
hd1270.jpg,0.3897,NO
hd1271.jpg,0.4381,NO
hd1272.jpg,0.4277,NO
hd1273.jpg,0.4409,NO
hd1274.jpg,0.4442,NO
hd1277.jpg,0.5257,YES
hd1275.jpg,0.4117,NO
hd128.jpg,0.4217,NO
hd1278.jpg,0.5359,YES
hd1279.jpg,0.4288,NO
hd1276.jpg,0.3830,NO
hd1280.jpg,0.3673,NO
hd1281.jpg,0.3975,NO
hd1282.jpg,0.2907,NO
hd1283.jpg,0.4362,NO
hd1284.jpg,0.4459,NO
hd1285.jpg,0.4390,NO
hd1287.jpg,0.4060,NO
hd1288.jpg,0.4249,NO
hd1289.jpg,0.5339,YES
hd1291.jpg,0.5732,YES
hd1292.jpg,0.4054,NO
hd1293.jpg,0.3869,NO
hd1294.jpg,0.3602,NO
hd1290.jpg,0.1598,NO
hd1295.jpg,0.5276,YES
hd1297.jpg,0.3777,NO
hd1296.jpg,0.3869,NO
hd1298.jpg,0.5083,YES
hd13.jpg,0.5119,YES
hd1299.jpg,0.3463,NO
hd1300.jpg,0.5569,YES
hd1302.jpg,0.3584,NO
hd1301.jpg,0.4429,NO
hd1303.jpg,0.4047,NO
hd1305.jpg,0.4856,NO
hd1304.jpg,0.4391,NO
hd1307.jpg,0.4698,NO
hd1309.jpg,0.4185,NO
hd1310.jpg,0.5680,YES
hd131.jpg,0.3299,NO
hd1313.jpg,0.5016,YES
hd1314.jpg,0.5253,YES
hd1311.jpg,0.5633,YES
hd1319.jpg,0.4020,NO
hd1315.jpg,0.5372,YES
hd1317.jpg,0.4086,NO
hd1318.jpg,0.3765,NO
hd1320.jpg,0.4518,NO
hd1323.jpg,0.4433,NO
hd1322.jpg,0.3181,NO
hd1324.jpg,0.4573,NO
hd1326.jpg,0.4724,NO
hd1329.jpg,0.3906,NO
hd1330.jpg,0.4045,NO
hd1331.jpg,0.3439,NO
hd1327.jpg,0.4978,NO
hd1332.jpg,0.4261,NO
hd1333.jpg,0.5478,YES
hd1334.jpg,0.3606,NO
hd1336.jpg,0.6335,YES
hd1337.jpg,0.3643,NO
hd1338.jpg,0.4573,NO
hd1339.jpg,0.3745,NO
hd1341.jpg,0.4270,NO
hd1340.jpg,0.4136,NO
hd1342.jpg,0.4668,NO
hd1348.jpg,0.4963,NO
hd1343.jpg,0.4321,NO
hd1345.jpg,0.5720,YES
hd1344.jpg,0.5712,YES
hd1349.jpg,0.5156,YES
hd1350.jpg,0.4409,NO
hd1352.jpg,0.5401,YES
hd1351.jpg,0.5077,YES
hd1353.jpg,0.5289,YES
hd1355.jpg,0.4518,NO
hd1356.jpg,0.5516,YES
hd1357.jpg,0.3887,NO
hd1354.jpg,0.3852,NO
hd1358.jpg,0.4250,NO
hd1359.jpg,0.4351,NO
hd1360.jpg,0.5060,YES
hd1361.jpg,0.3903,NO
hd1362.jpg,0.4673,NO
hd1363.jpg,0.3423,NO
hd1364.jpg,0.3418,NO
hd1367.jpg,0.5056,YES
hd1365.jpg,0.3865,NO
hd1368.jpg,0.4037,NO
hd1369.jpg,0.4395,NO
hd137.jpg,0.4638,NO
hd1372.jpg,0.4924,NO
hd1370.jpg,0.4776,NO
hd1371.jpg,0.4084,NO
hd1373.jpg,0.3959,NO
hd1375.jpg,0.3779,NO
hd1374.jpg,0.4524,NO
hd1377.jpg,0.2690,NO
hd1379.jpg,0.4104,NO
hd1378.jpg,0.5717,YES
hd1381.jpg,0.3679,NO
hd1380.jpg,0.4601,NO
hd1382.jpg,0.3832,NO
hd1383.jpg,0.4021,NO
hd1384.jpg,0.6023,YES
hd1387.jpg,0.4046,NO
hd1386.jpg,0.4607,NO
hd1388.jpg,0.4021,NO
hd1385.jpg,0.4600,NO
hd1389.jpg,0.5828,YES
hd1390.jpg,0.4421,NO
hd1391.jpg,0.3836,NO
hd1392.jpg,0.3094,NO
hd1393.jpg,0.3988,NO
hd1394.jpg,0.4112,NO
hd1395.jpg,0.5334,YES
hd1396.jpg,0.5442,YES
hd1397.jpg,0.3726,NO
hd1398.jpg,0.3772,NO
hd1399.jpg,0.4124,NO
hd1401.jpg,0.3693,NO
hd1400.jpg,0.5881,YES
hd14.jpg,0.5307,YES
hd1402.jpg,0.5332,YES
hd1404.jpg,0.3951,NO
hd1406.jpg,0.4406,NO
hd1403.jpg,0.5286,YES
hd1407.jpg,0.4130,NO
hd1409.jpg,0.3866,NO
hd1410.jpg,0.4476,NO
hd1412.jpg,0.4357,NO
hd1413.jpg,0.3889,NO
hd1414.jpg,0.3906,NO
hd1411.jpg,0.4949,NO
hd1417.jpg,0.5395,YES
hd1415.jpg,0.4527,NO
hd1419.jpg,0.4492,NO
hd1418.jpg,0.4945,NO
hd1420.jpg,0.3956,NO
hd142.jpg,0.2953,NO
hd1421.jpg,0.4440,NO
hd1423.jpg,0.2874,NO
hd1422.jpg,0.5094,YES
hd1424.jpg,0.3600,NO
hd1426.jpg,0.4133,NO
hd1427.jpg,0.4192,NO
hd1428.jpg,0.4155,NO
hd143.jpg,0.4642,NO
hd1429.jpg,0.4653,NO
hd1430.jpg,0.3637,NO
hd1431.jpg,0.5089,YES
hd1432.jpg,0.3770,NO
hd1433.jpg,0.2816,NO
hd1434.jpg,0.3065,NO
hd1436.jpg,0.2694,NO
hd1438.jpg,0.4087,NO
hd1437.jpg,0.4964,NO
hd1439.jpg,0.3791,NO
hd1440.jpg,0.3966,NO
