lpips_threshold,ssim_lower,ssim_upper,total,kept,dropped,pass_rate,kept_ssim_mean,kept_lpips_mean,kept_lpips_std,group
0.15,0.6,0.95,3004,304,2700,10.119840213049267,0.8330700657894736,0.11887763157894737,0.021285287369412504,ip2p_rain_test
0.2,0.6,0.95,3004,697,2307,23.202396804260985,0.8059304160688665,0.15046657101865138,0.032821783467356966,ip2p_rain_test
0.25,0.6,0.95,3004,1088,1916,36.21837549933422,0.7865638786764706,0.17697417279411767,0.044954107276695326,ip2p_rain_test
0.3,0.6,0.95,3004,1421,1583,47.30359520639148,0.7695515833919775,0.199656157635468,0.057276564896584,ip2p_rain_test
0.35,0.6,0.95,3004,1652,1352,54.99334221038615,0.7557732445520581,0.21695635593220342,0.06851216952678064,ip2p_rain_test
0.4,0.6,0.95,3004,1774,1230,59.05459387483355,0.748037091319053,0.22767857948139797,0.0770883198040329,ip2p_rain_test
0.45,0.6,0.95,3004,1819,1185,60.5525965379494,0.7454241341396372,0.23239076415612975,0.08170702493331371,ip2p_rain_test
0.5,0.6,0.95,3004,1828,1176,60.852197070572565,0.7448870897155362,0.23354403719912473,0.08314197656812641,ip2p_rain_test
1.0,0.6,0.95,3004,1830,1174,60.918774966711055,0.7447734972677595,0.23386743169398908,0.08367149522797179,ip2p_rain_test
0.15,0.5,0.95,3004,2940,64,97.86950732356857,0.7232162925170068,,,ip2p_snow_test
0.2,0.5,0.95,3004,2940,64,97.86950732356857,0.7232162925170068,,,ip2p_snow_test
0.25,0.5,0.95,3004,2940,64,97.86950732356857,0.7232162925170068,,,ip2p_snow_test
0.3,0.5,0.95,3004,2940,64,97.86950732356857,0.7232162925170068,,,ip2p_snow_test
0.35,0.5,0.95,3004,2940,64,97.86950732356857,0.7232162925170068,,,ip2p_snow_test
0.4,0.5,0.95,3004,2940,64,97.86950732356857,0.7232162925170068,,,ip2p_snow_test
0.45,0.5,0.95,3004,2940,64,97.86950732356857,0.7232162925170068,,,ip2p_snow_test
0.5,0.5,0.95,3004,2940,64,97.86950732356857,0.7232162925170068,,,ip2p_snow_test
1.0,0.5,0.95,3004,2940,64,97.86950732356857,0.7232162925170068,,,ip2p_snow_test
0.15,0.6,0.95,7009,683,6326,9.744614067627335,0.8276150805270863,0.12011713030746704,0.021700026000207494,ip2p_rain_train
0.2,0.6,0.95,7009,1534,5475,21.886146383221572,0.8045651890482399,0.15104230769230767,0.03296378415829139,ip2p_rain_train
0.25,0.6,0.95,7009,2380,4629,33.956341846197745,0.7851495378151261,0.17719768907563024,0.044911909749691156,ip2p_rain_train
0.3,0.6,0.95,7009,3113,3896,44.41432444000571,0.768022839704465,0.19971824606488917,0.05690171193572108,ip2p_rain_train
0.35,0.6,0.95,7009,3626,3383,51.73348551861891,0.7550715113072255,0.21700970766685052,0.06798636004840794,ip2p_rain_train
0.4,0.6,0.95,7009,3895,3114,55.57140818947068,0.7477839537869063,0.22777779204107831,0.07668133187881304,ip2p_rain_train
0.45,0.6,0.95,7009,3994,3015,56.98387787130832,0.744950150225338,0.23253903355032549,0.08143026559848245,ip2p_rain_train
0.5,0.6,0.95,7009,4020,2989,57.35482950492224,0.7442508955223881,0.23405019900497512,0.08330813467047739,ip2p_rain_train
1.0,0.6,0.95,7009,4022,2987,57.38336424596947,0.7441812282446544,0.23419291397314765,0.08353403100978758,ip2p_rain_train
0.15,0.6,0.95,7009,6322,687,90.19831645027821,0.7318702309395761,,,ip2p_snow_train
0.2,0.6,0.95,7009,6322,687,90.19831645027821,0.7318702309395761,,,ip2p_snow_train
0.25,0.6,0.95,7009,6322,687,90.19831645027821,0.7318702309395761,,,ip2p_snow_train
0.3,0.6,0.95,7009,6322,687,90.19831645027821,0.7318702309395761,,,ip2p_snow_train
0.35,0.6,0.95,7009,6322,687,90.19831645027821,0.7318702309395761,,,ip2p_snow_train
0.4,0.6,0.95,7009,6322,687,90.19831645027821,0.7318702309395761,,,ip2p_snow_train
0.45,0.6,0.95,7009,6322,687,90.19831645027821,0.7318702309395761,,,ip2p_snow_train
0.5,0.6,0.95,7009,6322,687,90.19831645027821,0.7318702309395761,,,ip2p_snow_train
1.0,0.6,0.95,7009,6322,687,90.19831645027821,0.7318702309395761,,,ip2p_snow_train
