ssim_lower,ssim_upper,total,kept,dropped,pass_rate,kept_ssim_mean,kept_ssim_std,group
0.3,0.95,1763,1713,50,97.16392512762337,0.7016582508988461,0.1356271533498256,ST_rain_0
0.35,0.95,1763,1681,82,95.34883720930233,0.7087466456518778,0.12669093139175286,ST_rain_0
0.4,0.95,1763,1645,118,93.30686330119116,0.7160722715211431,0.11785123276285699,ST_rain_0
0.45,0.95,1763,1596,167,90.52750992626206,0.7249130382269274,0.10809319712255043,ST_rain_0
0.5,0.95,1763,1515,248,85.93306863301191,0.7383075718523234,0.09359837274846312,ST_rain_0
0.55,0.95,1763,1441,322,81.7356778218945,0.7492862440338363,0.0820490226783306,ST_rain_0
0.6,0.95,1763,1348,415,76.46057855927396,0.7611082530308954,0.07081416904672969,ST_rain_0
0.65,0.95,1763,1226,537,69.54055587067498,0.7749405868325754,0.058122184494162066,ST_rain_0
0.7,0.95,1763,1055,708,59.84117980714691,0.7910507731330232,0.04503678895276746,ST_rain_0
0.3,0.95,1861,1632,229,87.6947877485223,0.6253673920128512,0.13321719536212512,ST_rain_1
0.35,0.95,1861,1576,285,84.6856528747985,0.6360520011520824,0.12264369170453848,ST_rain_1
0.4,0.95,1861,1504,357,80.81676518001075,0.6485848373235751,0.11096296229068837,ST_rain_1
0.45,0.95,1861,1427,434,76.67920472864051,0.6605612085495653,0.10080763403557337,ST_rain_1
0.5,0.95,1861,1323,538,71.09081139172488,0.6752382410499136,0.08935931916342811,ST_rain_1
0.55,0.95,1861,1179,682,63.35303600214937,0.6933451872185434,0.07696941600106541,ST_rain_1
0.6,0.95,1861,1007,854,54.11069317571199,0.7132730227105444,0.06464604490763828,ST_rain_1
0.65,0.95,1861,788,1073,42.34282643739925,0.7377154722370977,0.05033248433052582,ST_rain_1
0.7,0.95,1861,561,1300,30.14508328855454,0.7624991510023159,0.0366185959392191,ST_rain_1
0.3,0.95,2539,2213,326,87.16029933044506,0.6552539148185135,0.13882106483684534,ST_rain_2
0.35,0.95,2539,2140,399,84.28515163450177,0.6665163287578918,0.12678822248483246,ST_rain_2
0.4,0.95,2539,2058,481,81.05553367467508,0.6782048191023056,0.11463098278492684,ST_rain_2
0.45,0.95,2539,1968,571,77.51083103584088,0.6896158476242374,0.10369449962215356,ST_rain_2
0.5,0.95,2539,1855,684,73.06025994486018,0.7025858414876053,0.092016611683913,ST_rain_2
0.55,0.95,2539,1705,834,67.15242221346986,0.7181012499277567,0.0788358953524801,ST_rain_2
0.6,0.95,2539,1545,994,60.85072863332021,0.7328700225236822,0.06718891156000706,ST_rain_2
0.65,0.95,2539,1329,1210,52.343442300118156,0.7501650735258344,0.05545966236506928,ST_rain_2
0.7,0.95,2539,1031,1508,40.606538007089405,0.7713849521016481,0.043528419425549504,ST_rain_2
0.3,0.95,3322,2823,499,84.9789283564118,0.6363462619248632,0.12423344985784145,ST_snow_0
0.35,0.95,3322,2708,614,81.5171583383504,0.6496073412829648,0.10845799847286908,ST_snow_0
0.4,0.95,3322,2619,703,78.83804936785069,0.6589328201231083,0.09751433827693244,ST_snow_0
0.45,0.95,3322,2515,807,75.70740517760385,0.6685944087771758,0.08685086889441974,ST_snow_0
0.5,0.95,3322,2398,924,72.18543046357617,0.6779688039484214,0.07752905689429827,ST_snow_0
0.55,0.95,3322,2221,1101,66.8573148705599,0.689938454913476,0.06731118275647104,ST_snow_0
0.6,0.95,3322,1960,1362,59.00060204695966,0.7050498315829093,0.0562250065295339,ST_snow_0
0.65,0.95,3322,1585,1737,47.712221553281154,0.7235717180165037,0.04548473235400372,ST_snow_0
0.7,0.95,3322,1016,2306,30.583985550872967,0.7500823575937272,0.033957421973479375,ST_snow_0
0.3,0.95,1661,1509,152,90.84888621312463,0.5268791797897509,0.10232605750598583,ST_snow_1
0.35,0.95,1661,1438,223,86.57435279951837,0.5368684488342822,0.0941041904976595,ST_snow_1
0.4,0.95,1661,1326,335,79.8314268512944,0.5504186742808362,0.08500071862836397,ST_snow_1
0.45,0.95,1661,1147,514,69.05478627332931,0.569463661449397,0.07505129230457332,ST_snow_1
0.5,0.95,1661,913,748,54.966887417218544,0.5934245034516845,0.0648745572687862,ST_snow_1
0.55,0.95,1661,627,1034,37.74834437086093,0.6246055738337787,0.05405153478189588,ST_snow_1
0.6,0.95,1661,381,1280,22.937989163154725,0.6569823658484173,0.04473130406082336,ST_snow_1
0.65,0.95,1661,183,1478,11.017459361830223,0.6943236700831672,0.03572233518190393,ST_snow_1
0.7,0.95,1661,61,1600,3.6724864539434074,0.7354983852249639,0.028614661181161894,ST_snow_1
0.3,0.95,2051,1681,370,81.96001950268162,0.5785033607302965,0.11618857876456361,ST_snow_2
0.35,0.95,2051,1591,460,77.57191613846905,0.59275640901252,0.10225150952022513,ST_snow_2
0.4,0.95,2051,1521,530,74.15894685519258,0.602881577622192,0.09272149077013177,ST_snow_2
0.45,0.95,2051,1422,629,69.33203315455874,0.6150933548723825,0.08300126602358988,ST_snow_2
0.5,0.95,2051,1287,764,62.74987810823988,0.6297001747317947,0.0730953798466986,ST_snow_2
0.55,0.95,2051,1063,988,51.828376401755236,0.6511984333274203,0.06138098375365707,ST_snow_2
0.6,0.95,2051,826,1225,40.27303754266212,0.6728996494078828,0.051745600648544506,ST_snow_2
0.65,0.95,2051,498,1553,24.280838615309605,0.7040244083731952,0.04314378851929153,ST_snow_2
0.7,0.95,2051,222,1829,10.823988298391027,0.7439493837597807,0.03243280223299762,ST_snow_2
0.3,0.95,3004,2932,72,97.60319573901465,0.6372096862210096,0.15696788485694263,ip2p_rain_test
0.35,0.95,3004,2821,183,93.9081225033289,0.6493516129032258,0.14732787125055571,ip2p_rain_test
0.4,0.95,3004,2653,351,88.3155792276964,0.6666961552958915,0.13421225049450367,ip2p_rain_test
0.45,0.95,3004,2417,587,80.45938748335553,0.6901549027720314,0.11645633572700609,ip2p_rain_test
0.5,0.95,3004,2186,818,72.76964047936086,0.7129310612991766,0.09769490162558563,ip2p_rain_test
0.55,0.95,3004,2008,996,66.84420772303595,0.729642529880478,0.08330525556265252,ip2p_rain_test
0.6,0.95,3004,1830,1174,60.918774966711055,0.7447734972677595,0.07079652793570809,ip2p_rain_test
0.65,0.95,3004,1612,1392,53.66178428761651,0.7608669354838711,0.0590594340653337,ip2p_rain_test
0.7,0.95,3004,1323,1681,44.041278295605856,0.7795804988662132,0.04744379537164822,ip2p_rain_test
0.3,0.95,3004,2996,8,99.73368841544608,0.7177737316421896,0.07786866791784043,ip2p_snow_test
0.35,0.95,3004,2988,16,99.46737683089214,0.7188417336010708,0.0751803182334887,ip2p_snow_test
0.4,0.95,3004,2980,24,99.20106524633822,0.7197362751677853,0.07326690346641074,ip2p_snow_test
0.45,0.95,3004,2970,34,98.8681757656458,0.7207200336700337,0.0713915497158508,ip2p_snow_test
0.5,0.95,3004,2940,64,97.86950732356857,0.7232162925170068,0.06729893246947236,ip2p_snow_test
0.55,0.95,3004,2898,106,96.47137150466045,0.7260486887508627,0.06348110447046597,ip2p_snow_test
0.6,0.95,3004,2793,211,92.97603195739015,0.7315212674543501,0.0578603855675063,ip2p_snow_test
0.65,0.95,3004,2539,465,84.52063914780294,0.7418659708546671,0.04984010659426558,ip2p_snow_test
0.7,0.95,3004,1957,1047,65.14647137150466,0.7611290751149719,0.039260233811185805,ip2p_snow_test
0.3,0.95,7009,6810,199,97.16079326580112,0.6268312187958884,0.15940436134576097,ip2p_rain_train
0.35,0.95,7009,6530,479,93.16592951918962,0.6397055436447168,0.14986466876176138,ip2p_rain_train
0.4,0.95,7009,6029,980,86.01797688685974,0.661618294907945,0.13435556472438115,ip2p_rain_train
0.45,0.95,7009,5480,1529,78.18519046939649,0.6853755109489051,0.11678985710844536,ip2p_rain_train
0.5,0.95,7009,4965,2044,70.83749464973606,0.7072172809667674,0.09978302082227429,ip2p_rain_train
0.55,0.95,7009,4474,2535,63.83221572264232,0.7271817389360752,0.08363712494679214,ip2p_rain_train
0.6,0.95,7009,4022,2987,57.38336424596947,0.7441812282446544,0.06997480623245735,ip2p_rain_train
0.65,0.95,7009,3539,3470,50.49222428306464,0.7603642554393898,0.05792635347964328,ip2p_rain_train
0.7,0.95,7009,2913,4096,41.560850335283206,0.7785642636457261,0.04645884156352774,ip2p_rain_train
0.3,0.95,7009,6959,50,99.28663147381937,0.7125191406811323,0.08577840675937766,ip2p_snow_train
0.35,0.95,7009,6932,77,98.90141246968184,0.7140215666474322,0.08248698385517504,ip2p_snow_train
0.4,0.95,7009,6909,100,98.57326294763875,0.7151284990591982,0.08035399498780493,ip2p_snow_train
0.45,0.95,7009,6859,150,97.85989442145812,0.7172093453856246,0.07683792736910475,ip2p_snow_train
0.5,0.95,7009,6755,254,96.37608788700243,0.7209229459659513,0.07129162896985101,ip2p_snow_train
